CP004360.1	 GCA_000550765.1
CP004373.1	 GCA_000583855.1
CP004387.1	 GCA_000299335.2
CP004388.1	 GCA_000300235.2
CP004391.1	 GCA_000973525.1
CP004392.1	 GCA_000973565.1
CP004393.1	 GCA_000819565.1
CP004399.1	 GCA_000348585.1
CP004403.1	 GCA_000730245.1
CP004404.1	 GCA_000153405.2
CP004406.1	 GCA_000604105.1
CP004885.1	 GCA_000477435.1
CP004887.1	 GCA_000632415.1
CP005094.1	 GCA_000380335.1
CP005095.1	 GCA_000380365.1
CP005286.1	 GCA_000819445.1
CP005287.1	 GCA_000367205.1
CP005384.1	 GCA_000439395.1
CP005390.2	 GCA_000430085.2
CP005930.1	 GCA_000813165.1
CP005942.2	 GCA_000392485.2
CP005950.1	 GCA_000442435.1
CP005959.1	 GCA_000445015.1
CP005960.1	 GCA_000257545.3
CP005964.1	 GCA_000401175.1
CP005975.1	 GCA_000963495.1
CP005976.1	 GCA_000410575.1
CP005991.1	 GCA_000410515.1
CP005995.1	 GCA_000505705.1
CP005998.1	 GCA_000725265.1
CP006027.1	 GCA_000520035.1
CP006032.1	 GCA_000709495.1
CP006033.1	 GCA_000412205.1
CP006048.1	 GCA_000430145.3
CP006053.1	 GCA_000439415.1
CP006055.1	 GCA_000430125.1
CP006245.1	 GCA_000414035.1
CP006250.1	 GCA_000176835.2
CP006252.1	 GCA_000422085.1
CP006262.1	 GCA_000520055.1
CP006270.1	 GCA_000737575.1
CP006566.1	 GCA_000438825.1
CP006568.1	 GCA_000517405.1
CP006569.1	 GCA_000517425.1
CP006575.1	 GCA_000444445.1
CP006579.1	 GCA_000512185.1
CP006580.1	 GCA_000512375.1
CP006584.1	 GCA_000468515.1
CP006587.1	 GCA_000737515.1
CP006602.1	 GCA_000430165.1
CP006608.1	 GCA_000439255.1
CP006631.1	 GCA_000442415.1
CP006643.1	 GCA_000473245.1
CP006648.1	 GCA_000474015.1
CP006649.1	 GCA_000734055.1
CP006650.1	 GCA_000444995.1
CP006656.1	 GCA_000445405.1
CP006664.1	 GCA_000264765.2
CP006692.1	 GCA_000709535.1
CP006693.1	 GCA_000756465.1
CP006696.1	 GCA_000698805.1
CP006704.1	 GCA_000739375.1
CP006721.1	 GCA_000473995.1
CP006722.1	 GCA_000814805.1
CP006731.1	 GCA_000504545.1
CP006738.1	 GCA_000813205.1
CP006740.1	 GCA_000698825.1
CP006772.1	 GCA_000473305.1
CP006777.1	 GCA_000767745.1
CP006784.1	 GCA_000493755.1
CP006798.1	 GCA_000733255.1
CP006842.1	 GCA_000626675.1
CP006852.1	 GCA_000508205.1
CP006853.1	 GCA_000504045.1
CP006857.1	 GCA_000816885.1
CP006866.1	 GCA_000496635.1
CP006875.1	 GCA_000505725.1
CP006876.1	 GCA_000503845.1
CP006877.1	 GCA_000816845.1
CP006883.1	 GCA_000819505.1
CP006918.1	 GCA_000597905.1
CP006923.1	 GCA_000598005.1
CP006929.1	 GCA_000816045.1
CP006931.1	 GCA_000510305.1
CP006937.1	 GCA_000508765.1
CP006942.1	 GCA_000521605.1
CP006943.1	 GCA_000521655.1
CP006944.1	 GCA_000521695.1
CP006953.1	 GCA_000521685.1
CP006954.1	 GCA_000521725.1
CP006955.1	 GCA_000521745.1
CP006956.1	 GCA_000521765.1
CP006966.1	 GCA_000511385.1
CP006978.1	 GCA_000510285.1
CP006979.1	 GCA_000510325.1
CP006986.1	 GCA_000698845.1
CP006996.1	 GCA_000511305.1
